Investor;Time of investment;Company;Industry;Vertical;Employees;Postal code;Region;Invested amount (DKK);Source;# of investors in round;CVR;GP2019;GP2020;GP2021;GP2022;Valuta ;AvgYearlyGrowth;InvestorCountry;# Danish investors;# intertiol investors;Time of first venture investment in company;Series;Betweenness;Degree_centralization;Normalized_degree_centralization;Binary_degree_centralization;Binary_normalized_degree_centralization
Promentum Equity Partners;2017-03-01 00.00.00;AskCody;IT;SaaS/Enterprise solutions;7;9000;Nordjylland;;;1;33757891;2625000;9655000;16376000;19949000;DKK;;DK;1;0;2017-03-01 00.00.00;Pre-Seed;0;2;0,045454545;2;0,054054054
Rulebreaker Ventures;2016-06-01 00.00.00;November First;IT;FinTech;7;1401;Hovedstaden;;trendsonline.dk;2;37367605;-1229000;-2036000;-2670000;;DKK;;DK;1;1;2016-06-01 00.00.00;Pre-Seed;0;1;0,022727273;1;0,027027027
Scale Capital;2017-03-01 00.00.00;Donkey Republic;Other;Mobility;;2300;Hovedstaden;;;4;38049488;3340000;-7152000;4004000;;DKK;;DK;2;2;2016-07-01 00.00.00;Seed-Bridge;0;4;0,090909091;4;0,108108108
Seed Capital;2016-09-01 00.00.00;Reapplix;Life Science;MedTech;3;3460;Hovedstaden;20000000;medwatch.dk;3;31261570;320000;303000;-16000;;DKK;;DK;3;0;2010-09-01 00.00.00;Early-Bridge;4082,980623;44;1;37;1
Seed Capital;2017-06-01 00.00.00;Veo (Veo Technologies);IT;AI;7;2200;Hovedstaden;;;2;37240834;3779000;9414000;7570000;;DKK;;DK;2;0;2017-06-01 00.00.00;Seed;4082,980623;44;1;37;1
Seed Capital;2016-09-01 00.00.00;Ontame io;IT;SaaS/Enterprise solutions;2;2300;Hovedstaden;6200000;trendsonline.dk;1;36908009;2466000;2397000;2071000;;DKK;;DK;1;0;2016-09-01 00.00.00;Seed;4082,980623;44;1;37;1
Seed Capital;2019-07-01 00.00.00;Tattoodo;IT;Social/Platform Software;21;2300;Hovedstaden;35000000;fins.dk;1;34687684;-7622000;-4660000;-2834000;;DKK;;DK;1;0;2013-01-01 00.00.00;Early-Bridge;4082,980623;44;1;37;1
Seed Capital;2016-06-01 00.00.00;OrderYoyo;IT;SaaS/Enterprise solutions;24;2400;Hovedstaden;18500000;borsen.dk;1;36704608;4153000;20244000;19366000;;DKK;;DK;1;0;2015-11-01 00.00.00;Seed;4082,980623;44;1;37;1
Seed Capital;2018-01-01 00.00.00;Brickshare;IT;Fintech;1;1620;Hovedstaden;10000000;techsavvy.media;1;37933589;-4594000;-2497000;-6556000;;DKK;;DK;1;0;2017-01-01 00.00.00;Seed;4082,980623;44;1;37;1
Seed Capital;2018-07-01 00.00.00;Forecast;IT;SaaS/Enterprise solutions;17;1360;Hovedstaden;18000000;techsavvy.media;2;38019651;-1118000;-9588000;-1467000;-35090000;DKK;;DK;2;0;2017-04-01 00.00.00;Seed;4082,980623;44;1;37;1
Seed Capital;2018-03-01 00.00.00;Artland;IT;Social/Platform Software;8;2100;Hovedstaden;;;1;37859427;-1979000;-28000;1012000;;DKK;;DK;1;0;2018-03-01 00.00.00;Seed;4082,980623;44;1;37;1
Seed Capital;2019-02-01 00.00.00;Lur;IT;Fintech;50;8000;Midtjylland;97000000;techsavvy.media;3;36982837;-79736000;19806000;89608000;;DKK;;DK;1;2;2015-08-01 00.00.00;Growth;4082,980623;44;1;37;1
Seed Capital;2018-01-01 00.00.00;Cardlay;IT;Fintech;23;5230;Syddanmark;30000000;techsavvy.media;2;37447285;-9655000;-6046000;-7450000;;DKK;;DK;1;1;2016-12-01 00.00.00;Early-Bridge;4082,980623;44;1;37;1
Seed Capital;2017-07-01 00.00.00;Archii;IT;SaaS/Enterprise solutions;10;2200;Hovedstaden;4000000;nordic9.com;1;38798073;600000;-168000;-17000;;DKK;;DK;1;0;2017-07-01 00.00.00;Pre-Seed;4082,980623;44;1;37;1
Seed Capital;2017-01-01 00.00.00;DrugStars;IT;HealthTech;1;1434;Hovedstaden;3500000;trendsonline.dk;1;36893974;-4397000;-2069000;;;DKK;;DK;1;0;2017-01-01 00.00.00;Pre-Seed;4082,980623;44;1;37;1
Seed Capital;2018-05-01 00.00.00;SUPERB;IT;SaaS/Enterprise solutions;13;1620;Hovedstaden;9000000;crunchbase.com;1;39478021;1031000;2646000;-9006000;;DKK;;DK;1;0;2018-05-01 00.00.00;Seed;4082,980623;44;1;37;1
Seed Capital;2019-11-01 00.00.00;Cardlay;IT;Fintech;23;5230;Syddanmark;70000000;fins.dk;3;37447285;-9655000;-6046000;-7450000;;DKK;;DK;1;2;2016-12-01 00.00.00;Early-Bridge;4082,980623;44;1;37;1
Seed Capital;2017-08-01 00.00.00;Skidos;IT;SaaS/EdTech;5;2200;Hovedstaden;4750000;techsavvy.media;1;37212962;-1394000;1312000;4048000;;DKK;;DK;1;0;2017-08-01 00.00.00;Pre-Seed;4082,980623;44;1;37;1
Seed Capital;2019-11-01 00.00.00;Forecast;IT;SaaS/Enterprise solutions;17;1360;Hovedstaden;37000000;techcrunch.com;3;38019651;-1118000;-9588000;-1467000;-35090000;DKK;;DK;2;1;2017-04-01 00.00.00;Early-stage;4082,980623;44;1;37;1
Seed Capital;2017-06-01 00.00.00;Curasight;Life Science;BioTech;5;2200;Hovedstaden;;;1;35249389;-739000;-4791000;-6210000;-11488000;DKK;;DK;1;0;2013-12-01 00.00.00;Seed;4082,980623;44;1;37;1
Seed Capital;2016-11-01 00.00.00;Leneo;IT;FinTech;3;2750;Hovedstaden;;;2;37648035;-180000;4905000;4858000;;DKK;;DK;2;0;2016-11-01 00.00.00;Pre-Seed;4082,980623;44;1;37;1
Seed Capital;2017-10-01 00.00.00;Pento;IT;Fintech;2;8210;Midtjylland;4000000;borsen.dk;1;37959383;-553000;-805000;-8522000;;DKK;;DK;1;0;2017-10-01 00.00.00;Pre-Seed;4082,980623;44;1;37;1
Seed Capital;2016-09-01 00.00.00;Densou Adtech;IT;SaaS/Marketing;2;2930;Hovedstaden;;;1;37139874;60;-13000;-5000;-13000;DKK;;DK;1;0;2016-09-01 00.00.00;Pre-Seed;4082,980623;44;1;37;1
Seed Capital;2016-12-01 00.00.00;Lur;IT;Fintech;34;8000;Midtjylland;31332000;berlingske.dk;1;36982837;-79736000;19806000;89608000;;DKK;;DK;1;0;2015-08-01 00.00.00;Early-stage;4082,980623;44;1;37;1
Seed Capital;2017-05-01 00.00.00;Upodi;IT;SaaS/Enterprise solutions;3;8700;Midtjylland;;;1;38558862;-788000;-1032000;-1628000;-2725000;DKK;;DK;1;0;2017-05-01 00.00.00;Pre-Seed;4082,980623;44;1;37;1
Seed Capital;2017-05-01 00.00.00;Traede;IT;SaaS/Enterprise solutions;7;2400;Hovedstaden;3500000;berlingske.dk;1;38492985;1581000;2310000;5337000;;DKK;;DK;1;0;2017-05-01 00.00.00;Pre-Seed;4082,980623;44;1;37;1
Seed Capital;2016-08-01 00.00.00;Bookingabus.com;IT;Mobility;4;2800;Hovedstaden;8000000;berlingske.dk;1;35043586;-739000;-620000;22000;;DKK;;DK;1;0;2015-07-01 00.00.00;Seed;4082,980623;44;1;37;1
Seed Capital;2017-04-01 00.00.00;Forecast;IT;SaaS/Enterprise solutions;3;1260;Hovedstaden;;;1;38019651;-1118000;-9588000;-1467000;-35090000;DKK;;DK;1;0;2017-04-01 00.00.00;Pre-Seed;4082,980623;44;1;37;1
Seed Capital;2018-06-01 00.00.00;Abzu;IT;AI;4;2800;Hovedstaden;;;1;39248530;-3132000;-4309000;-7825000;;DKK;;DK;1;0;2018-06-01 00.00.00;Seed;4082,980623;44;1;37;1
Seed Capital;2016-02-01 00.00.00;Motosumo (MO2TION TECHNOLOGY INNOVATION);IT;HealthTech;7;2900;Hovedstaden;3400000;version2.dk;1;35660720;-525000;-1222000;-5912000;-10509000;DKK;;DK;1;0;2016-02-01 00.00.00;Pre-Seed;4082,980623;44;1;37;1
Seed Capital;2018-07-01 00.00.00;Zliide Technologies;Industry;IoT/Hardware;6;8000;Midtjylland;;;2;37556319;-1594000;-1524000;-2684000;;DKK;;DK;2;0;2018-01-01 00.00.00;Seed;4082,980623;44;1;37;1
Seed Capital;2017-05-01 00.00.00;Lur;IT;Fintech;34;8000;Midtjylland;31000000;trendsonline.dk;2;36982837;-79736000;19806000;89608000;;DKK;;DK;2;0;2015-08-01 00.00.00;Early-Bridge;4082,980623;44;1;37;1
Seed Capital;2018-08-01 00.00.00;Omnio;IT;SaaS/Enterprise solutions;6;1552;Hovedstaden;8900000;bootstrapping.dk;2;38109677;-1812000;-2320000;-2963000;14746000;DKK;;DK;2;0;2017-05-01 00.00.00;Seed;4082,980623;44;1;37;1
Seed Capital;2018-03-01 00.00.00;OrderYoyo;IT;SaaS/Enterprise solutions;46;2400;Hovedstaden;40000000;vf.dk;2;36704608;4153000;20244000;19366000;;DKK;;DK;2;0;2015-11-01 00.00.00;Early-stage;4082,980623;44;1;37;1
Seed Capital;2017-10-01 00.00.00;Injurymap;IT;HealthTech;3;2200;Hovedstaden;;;1;38908227;118000;-1028000;-1092000;-793000;DKK;;DK;1;0;2017-10-01 00.00.00;Pre-Seed;4082,980623;44;1;37;1
Seed Capital;2016-06-01 00.00.00;Tonsser;IT;Social/Platform Software;14,5;2000;Hovedstaden;13428000;trendsonline.dk;2;35472088;-4599000;-1805000;-2588000;;DKK;;DK;1;1;2015-11-01 00.00.00;Seed-Bridge;4082,980623;44;1;37;1
Seed Capital;2018-01-01 00.00.00;Coinify;IT;FinTech;18;2730;Hovedstaden;29760000;coinify.com;4;35847995;7550000;19313000;;34303000;DKK;;DK;3;1;2014-09-01 00.00.00;Early-Bridge;4082,980623;44;1;37;1
Seed Capital;2016-12-01 00.00.00;Cardlay;IT;Fintech;4;5230;Syddanmark;28500000;trendsonline.dk;1;37447285;-9655000;-6046000;-7450000;;DKK;;DK;1;0;2016-12-01 00.00.00;Early-stage;4082,980623;44;1;37;1
Seed Capital;2019-02-01 00.00.00;Legal Monster;IT;LegalTech;1;1200;Hovedstaden;;;2;39587408;-1026000;-385000;-853000;;DKK;;DK;1;1;2019-02-01 00.00.00;Seed;4082,980623;44;1;37;1
Seed Capital;2016-01-01 00.00.00;Mofibo Books;IT;SaaS/Digital Media;21;1408;Hovedstaden;;;1;35228691;32219000;38854000;56692000;;DKK;;DK;1;0;2013-07-01 00.00.00;Seed;4082,980623;44;1;37;1
Seed Capital;2017-03-01 00.00.00;Boatflex;IT;Social/Platform Software;3;1665;Hovedstaden;5000000;techsavvy.media;2;35889450;-8000;-4000;-14000;;DKK;;DK;1;1;2016-06-01 00.00.00;Pre-Seed;4082,980623;44;1;37;1
Skylark Invest;2017-06-01 00.00.00;Veo (Veo Technologies);IT;AI;7;2200;Hovedstaden;;;2;37240834;3779000;9414000;7570000;;DKK;;DK;2;0;2017-06-01 00.00.00;Seed;0;2;0,045454545;2;0,054054054
Sundstone Capital;2016-01-01 00.00.00;Peakon;IT;SaaS/Enterprise solutions;14,5;2450;Hovedstaden;30000000;trendsonline.dk;2;36469277;-102097000;-43362000;;-299486000;DKK;;DK;1;1;2015-03-01 00.00.00;Early-stage;0;5;0,113636364;5;0,135135135
Sunstone;2016-12-01 00.00.00;RFRSH Entertainment;IT;E-sport;12;1800;Hovedstaden;30000000;berlingske.dk;1;38074466;-67040000;49177000;13713000;;DKK;;DK;1;0;2016-12-01 00.00.00;Early-stage;0;3;0,068181818;3;0,081081081
Sunstone Capital;2016-01-01 00.00.00;Astralis;IT;E-sport;;7000;Syddanmark;;nyheder.tv2.dk;2;34598193;-7000;15000;-11000;;DKK;;DK;1;1;2016-01-01 00.00.00;Pre-Seed;956,6014356;16;0,363636364;15;0,405405405
Sunstone Capital;2016-08-01 00.00.00;Blackwood Seven;IT;SaaS/Marketing;34,5;2100;Hovedstaden;100575000;bureaubiz.dk;4;32337422;1387000;10557000;12302000;;DKK;;DK;2;2;2013-08-01 00.00.00;Late-stage;956,6014356;16;0,363636364;15;0,405405405
Sunstone Capital;2016-01-01 00.00.00;Corti;IT;HealthTech;3;1709;Hovedstaden;;;2;35669825;-1957000;5171000;-2029000;;DKK;;DK;1;1;2016-01-01 00.00.00;Pre-Seed;956,6014356;16;0,363636364;15;0,405405405
Sunstone Capital;2017-03-01 00.00.00;Orphazyme;Life Science;Biotech;34,5;2200;Hovedstaden;104300000;novoholdings.dk;7;32266355;0;0;36193000;;DKK;;DK;2;5;2009-07-01 00.00.00;Growth;956,6014356;16;0,363636364;15;0,405405405
Sunstone Life Science Ventures;2019-01-01 00.00.00;Minervax;Life Science;BioTech;1;2200;Hovedstaden;33000000;minervax.com;2;32673287;-25879000;-16782000;-57829000;;DKK;;DK;2;0;2009-01-01 00.00.00;Early-stage;143,9602522;16;0,363636364;14;0,378378378
Sunstone Life Science Ventures;2016-02-01 00.00.00;Minervax;Life Science;BioTech;3;2200;Hovedstaden;;;3;32673287;-25879000;-16782000;-57829000;;DKK;;DK;3;0;2009-01-01 00.00.00;Seed-Bridge;143,9602522;16;0,363636364;14;0,378378378
Sunstone Life Science Ventures;2016-01-01 00.00.00;IO Biotech;Life Science;BioTech;4;2200;Hovedstaden;82000000;lundbeckfonden.com;3;36474483;;;;;DKK;;DK;3;0;2015-01-01 00.00.00;Early-stage;143,9602522;16;0,363636364;14;0,378378378
The Danish Growth Fund;2016-01-01 00.00.00;True Linked;IT;Social/Platform Software;1;2300;Hovedstaden;16000000;oresundstartups.com;2;35529160;-5744000;-8454000;-14554000;;DKK;;DK;2;0;2015-12-01 00.00.00;Seed;82,83255864;11;0,25;9;0,243243243
The Danish Growth Fund;2016-08-01 00.00.00;Blackwood Seven;IT;SaaS/Marketing;34,5;2100;Hovedstaden;100575000;bureaubiz.dk;4;32337422;1387000;10557000;12302000;;DKK;;DK;2;2;2013-08-01 00.00.00;Late-stage;82,83255864;11;0,25;9;0,243243243
The Danish Growth Fund;2016-07-01 00.00.00;Donkey Republic;Other;Mobility;;2100;Hovedstaden;;trendsonline.dk;3;38049488;3340000;-7152000;4004000;;DKK;;DK;2;1;2016-07-01 00.00.00;Seed;82,83255864;11;0,25;9;0,243243243
Vækstfonden;2018-01-01 00.00.00;Area9 Lyceum;IT;SaaS/EdTech;9;1437;Hovedstaden;190000000;vf.dk;1;39079976;-71306000;-44640000;-428000;;DKK;;DK;1;0;2018-01-01 00.00.00;Late-stage;3318,489962;30;0,681818182;25;0,675675676
Vækstfonden;2017-08-01 00.00.00;Tentoma;Industry;Advanced Manufacturing;7;6310;Syddanmark;;;1;33647093;3695000;1967000;4096000;12646000;DKK;;DK;1;0;2017-08-01 00.00.00;Pre-Seed;3318,489962;30;0,681818182;25;0,675675676
Vækstfonden;2016-06-01 00.00.00;AllUnite;IT;SaaS/Marketing;7;2860;Hovedstaden;;;1;35410805;1024000;-1147000;-413000;;DKK;;DK;1;0;2014-02-01 00.00.00;Seed-Bridge;3318,489962;30;0,681818182;25;0,675675676
Vækstfonden;2017-09-01 00.00.00;eloomi;IT;SaaS/EdTech;19;2860;Hovedstaden;;;1;36699752;8970000;17393000;17593000;21392000;DKK;;DK;1;0;2015-10-01 00.00.00;Seed;3318,489962;30;0,681818182;25;0,675675676
Vækstfonden;2017-04-01 00.00.00;Kubo (Educatiol coding robots);Industry;SaaS/EdTech;1;5000;Syddanmark;6600000;vf.dk;1;37043958;-2995000;-2641000;-1706000;;DKK;;DK;1;0;2017-04-01 00.00.00;Seed;3318,489962;30;0,681818182;25;0,675675676
Vækstfonden;2018-02-01 00.00.00;Create it REAL;Industry;Advanced manufacturing;11;9220;Nordjylland;10000000;itwatch.dk;1;31944155;821000;-147000;907000;;DKK;;DK;1;0;2018-02-01 00.00.00;Seed;3318,489962;30;0,681818182;25;0,675675676
Vækstfonden;2016-07-01 00.00.00;Donkey Republic;Other;Mobility;;2100;Hovedstaden;;trendsonline.dk;3;38049488;3340000;-7152000;4004000;;DKK;;DK;2;1;2016-07-01 00.00.00;Seed;3318,489962;30;0,681818182;25;0,675675676
Vækstfonden;2018-06-01 00.00.00;eloomi;IT;SaaS/EdTech;22;2100;Hovedstaden;13000000;crunchbase.com;1;36699752;8970000;17393000;17593000;21392000;DKK;;DK;1;0;2015-10-01 00.00.00;Seed-Bridge;3318,489962;30;0,681818182;25;0,675675676
Vækstfonden;2018-05-01 00.00.00;Blackwood Seven;IT;SaaS/Marketing;40;2100;Hovedstaden;125000000;markedsforing.dk;5;32337422;1387000;10557000;12302000;;DKK;;DK;2;3;2013-08-01 00.00.00;Growth;3318,489962;30;0,681818182;25;0,675675676
Vækstfonden;2018-01-01 00.00.00;FreeSense;Life Science;BioTech;7;2100;Hovedstaden;;;1;37268941;6000;-3394000;-4474000;;DKK;;DK;1;0;2018-01-01 00.00.00;Seed;3318,489962;30;0,681818182;25;0,675675676
Vækstfonden;2019-02-01 00.00.00;Donkey Republic;Other;Mobility;7;2300;Hovedstaden;30000000;fins.dk;3;38049488;3340000;-7152000;4004000;;DKK;;DK;2;1;2016-07-01 00.00.00;Early-Bridge;3318,489962;30;0,681818182;25;0,675675676
Vækstfonden;2017-03-01 00.00.00;Subcuject;Life Science;Medtech;1;3150;Hovedstaden;;;1;38349279;-3178000;-2732000;-4491000;;DKK;;DK;1;0;2017-03-01 00.00.00;Seed;3318,489962;30;0,681818182;25;0,675675676
Vækstfonden;2016-09-01 00.00.00;Reapplix;Life Science;MedTech;3;3460;Hovedstaden;20000000;medwatch.dk;3;31261570;320000;303000;-16000;;DKK;;DK;3;0;2010-09-01 00.00.00;Early-Bridge;3318,489962;30;0,681818182;25;0,675675676
Vækstfonden;2019-07-01 00.00.00;eloomi;IT;SaaS/EdTech;22;2100;Hovedstaden;75000000;vf.dk;2;36699752;8970000;17393000;17593000;21392000;DKK;;DK;1;1;2015-10-01 00.00.00;Early-stage;3318,489962;30;0,681818182;25;0,675675676
Vækstfonden;2016-09-01 00.00.00;MicroShade;CleanTech;CleanTech;14,5;2630;Hovedstaden;;;3;27492207;-10381000;-7871000;-8547000;;DKK;;DK;1;2;2009-01-01 00.00.00;Seed-Bridge;3318,489962;30;0,681818182;25;0,675675676
Vækstfonden;2018-03-01 00.00.00;OrderYoyo;IT;SaaS/Enterprise solutions;46;2400;Hovedstaden;40000000;vf.dk;2;36704608;4153000;20244000;19366000;;DKK;;DK;2;0;2015-11-01 00.00.00;Early-stage;3318,489962;30;0,681818182;25;0,675675676
Vækstfonden;2019-09-01 00.00.00;Rokoko;Industry;IoT/Hardware;18;1129;Hovedstaden;19000000;techsavvy.media;3;35680667;-125000;5164000;-474000;;DKK;;DK;2;1;2015-04-01 00.00.00;Seed-Bridge;3318,489962;30;0,681818182;25;0,675675676
Vækstfonden;2016-06-01 00.00.00;Evosep;Life Science;Biotech;5;5000;Syddanmark;;https://www.vf.dk/vf-investering-portefoelje/evosep/;2;37510068;9017000;21644000;36908000;53510000;DKK;;DK;2;0;2016-06-01 00.00.00;Late-stage;3318,489962;30;0,681818182;25;0,675675676
Vækstfonden;2018-11-01 00.00.00;RFRSH Entertainment;IT;E-sport;12;2450;Hovedstaden;74500000;vf.dk;3;38074466;-67040000;49177000;13713000;;DKK;;DK;2;1;2016-12-01 00.00.00;Early-Bridge;3318,489962;30;0,681818182;25;0,675675676
Vækstfonden;2019-06-01 00.00.00;Fida Biosystems;Life Science;Medtech;1;2100;Hovedstaden;;;1;34687870;1119000;7807000;8908000;;DKK;;DK;1;0;2019-06-01 00.00.00;Seed;3318,489962;30;0,681818182;25;0,675675676
Vækstfonden;2018-03-01 00.00.00;MicroShade;CleanTech;CleanTech;11;2630;Hovedstaden;34000000;microshade.net;3;27492207;-10381000;-7871000;-8547000;;DKK;;DK;1;2;2009-01-01 00.00.00;Early-Bridge;3318,489962;30;0,681818182;25;0,675675676
Vækstfonden;2018-12-01 00.00.00;Monsido;IT;SaaS/Marketing;2;2750;Hovedstaden;;;1;33862377;572000;2436000;7867000;;DKK;;DK;1;0;2018-12-01 00.00.00;Seed;3318,489962;30;0,681818182;25;0,675675676
Vækstfonden;2017-02-01 00.00.00;Billetto;IT;Social/Platform Software;34,5;1614;Hovedstaden;;;1;32569080;9022000;7060000;11552000;;DKK;;DK;1;0;2012-12-01 00.00.00;Seed-Bridge;3318,489962;30;0,681818182;25;0,675675676
Vækstfonden;2019-08-01 00.00.00;novi Radiotherapy;Life Science;Medtech;6;2800;Hovedstaden;19000000;novi.com;1;34889031;174000;67000;419000;;DKK;;DK;1;0;2013-01-01 00.00.00;Seed-Bridge;3318,489962;30;0,681818182;25;0,675675676
Vækstfonden;2019-05-01 00.00.00;Takt;Other;Design;1;1264;Hovedstaden;;;1;39194104;-3961000;696000;4430000;2914000;DKK;;DK;1;0;2019-05-01 00.00.00;Pre-Seed;3318,489962;30;0,681818182;25;0,675675676
Vækstfonden;2017-07-01 00.00.00;CathVision;Life Science;Medtech;3;2200;Hovedstaden;;;1;35205500;-925000;3765000;5026000;;DKK;;DK;1;0;2017-07-01 00.00.00;Pre-Seed;3318,489962;30;0,681818182;25;0,675675676
Vækstfonden;2016-01-01 00.00.00;True Linked;IT;Social/Platform Software;1;2300;Hovedstaden;16000000;oresundstartups.com;2;35529160;-5744000;-8454000;-14554000;;DKK;;DK;2;0;2015-12-01 00.00.00;Seed;3318,489962;30;0,681818182;25;0,675675676
Vækstfonden;2017-03-01 00.00.00;Donkey Republic;Other;Mobility;;2300;Hovedstaden;;;4;38049488;3340000;-7152000;4004000;;DKK;;DK;2;2;2016-07-01 00.00.00;Seed-Bridge;3318,489962;30;0,681818182;25;0,675675676
Vækstfonden;2017-12-01 00.00.00;FirstAgenda;IT;SaaS/Enterprise solutions;27;8230;Midtjylland;18000000;vf.dk;1;37098922;14842000;23977000;42388000;53052000;DKK;;DK;1;0;2017-12-01 00.00.00;Seed;3318,489962;30;0,681818182;25;0,675675676
Vecata Invest;2017-12-01 00.00.00;Flex Funding;IT;Fintech;4;2900;Hovedstaden;;;2;25619978;-56000;-961000;2108000;;DKK;;DK;2;0;2017-12-01 00.00.00;Pre-Seed;0;1;0,022727273;1;0,027027027
William Demant Invest;2018-11-01 00.00.00;LifeX;Other;Real Estate;5;1717;Hovedstaden;30000000;fins.dk;3;38502824;-3918000;-3599000;635000;;DKK;;DK;2;1;2018-11-01 00.00.00;Early-stage;0;3;0,068181818;3;0,081081081
Bumble Ventures;2019-03-01 00.00.00;LeadFamly;IT;SaaS/Marketing;10;8200;Midtjylland;;;1;36986476;5309000;2228000;1650000;;EUR;;DK;1;0;2018-05-01 00.00.00;Seed;306,5946405;4;0,090909091;4;0,108108108
Capnova;2016-06-01 00.00.00;NMD Pharma;Life Science;BioTech;7;8240;Midtjylland;20142000;fins.dk;2;36899069;-7132000;-7870000;-11029000;;EUR;;DK;2;0;2016-06-01 00.00.00;Seed;0;6;0,136363636;6;0,162162162
Lundbeckfonden;2018-03-01 00.00.00;NMD Pharma;Life Science;BioTech;14;8200;Midtjylland;280000000;newsroom.au.dk;4;36899069;-7132000;-7870000;-11029000;;EUR;;DK;2;2;2016-06-01 00.00.00;Growth;1,019047619;8;0,181818182;7;0,189189189
Lundbeckfonden Emerge;2016-06-01 00.00.00;NMD Pharma;Life Science;BioTech;7;8240;Midtjylland;20142000;fins.dk;2;36899069;-7132000;-7870000;-11029000;;EUR;;DK;2;0;2016-06-01 00.00.00;Seed;136,2052434;11;0,25;10;0,27027027
NorthCap Partners;2017-06-01 00.00.00;Falcon.io;IT;SaaS/Marketing;149,5;1553;Hovedstaden;;;4;33362226;18240000;21022000;25348000;;EUR;;DK;1;3;2012-06-01 00.00.00;Early-Bridge;560;7;0,159090909;7;0,189189189
Novo Holdings;2018-10-01 00.00.00;Galecto;Life Science;BioTech;5;2200;Hovedstaden;590000000;medwatch.dk;10;34878366;2423000;4884000;9407000;12287000;EUR;;DK;3;7;2012-05-01 00.00.00;Growth;1223,09166;28;0,636363636;24;0,648648649
Novo Holdings;2018-03-01 00.00.00;NMD Pharma;Life Science;BioTech;14;8200;Midtjylland;280000000;newsroom.au.dk;4;36899069;-7132000;-7870000;-11029000;;EUR;;DK;2;2;2016-06-01 00.00.00;Growth;1223,09166;28;0,636363636;24;0,648648649
NovoSeeds;2016-06-01 00.00.00;NMD Pharma;Life Science;BioTech;7;8240;Midtjylland;20142000;fins.dk;2;36899069;-7132000;-7870000;-11029000;;EUR;;DK;2;0;2016-06-01 00.00.00;Seed;1247,29888;21;0,477272727;18;0,486486486
NovoSeeds;2019-09-01 00.00.00;Stipe Therapeutics;Life Science;BioTech;;8230;Midtjylland;149000000;medwatch.dk;4;39691175;-1331000;-2949000;-4087000;;EUR;;DK;2;2;2019-09-01 00.00.00;Late-stage;1247,29888;21;0,477272727;18;0,486486486
Seed Capital;2018-10-01 00.00.00;Galecto;Life Science;BioTech;5;2200;Hovedstaden;590000000;medwatch.dk;10;34878366;2423000;4884000;9407000;12287000;EUR;;DK;3;7;2012-05-01 00.00.00;Growth;4082,980623;44;1;37;1
Sunstone Life Science Ventures;2018-10-01 00.00.00;Galecto;Life Science;BioTech;5;2200;Hovedstaden;590000000;medwatch.dk;10;34878366;2423000;4884000;9407000;12287000;EUR;;DK;3;7;2012-05-01 00.00.00;Growth;143,9602522;16;0,363636364;14;0,378378378
Sunstone Life Science Ventures;2019-09-01 00.00.00;Stipe Therapeutics;Life Science;BioTech;;8230;Midtjylland;149000000;medwatch.dk;4;39691175;-1331000;-2949000;-4087000;;EUR;;DK;2;2;2019-09-01 00.00.00;Late-stage;143,9602522;16;0,363636364;14;0,378378378
Vækstfonden;2019-12-01 00.00.00;OnRobot;Industry;Robotics & Drones;90;5220;Syddanmark;185000000;vf.dk;2;36492449;-10502000;-13415000;-11317000;-10074000;EUR;;DK;1;1;2016-10-01 00.00.00;Late-stage;3318,489962;30;0,681818182;25;0,675675676
Vækstfonden;2016-10-01 00.00.00;OnRobot;Industry;Robotics & Drones;3;5000;Syddanmark;;;1;36492449;-10502000;-13415000;-11317000;-10074000;EUR;;DK;1;0;2016-10-01 00.00.00;Pre-Seed;3318,489962;30;0,681818182;25;0,675675676
Vækstfonden;2018-08-01 00.00.00;OnRobot;Industry;Robotics & Drones;90;5220;Syddanmark;;;2;36492449;-10502000;-13415000;-11317000;-10074000;EUR;;DK;1;1;2016-10-01 00.00.00;Seed-Bridge;3318,489962;30;0,681818182;25;0,675675676
Vækstfonden;2018-03-01 00.00.00;Insurance Business Applications;IT;Insurtech;45;2300;Hovedstaden;;;1;33361319;-1111000;1185000;-1150000;217000;EUR;;DK;1;0;2013-02-01 00.00.00;Seed-Bridge;3318,489962;30;0,681818182;25;0,675675676
Vækstfonden;2017-12-01 00.00.00;MapsPeople;IT;SaaS/Enterprise solutions;27;9400;Nordjylland;15000000;vf.dk;1;84059528;15784000;24559000;;;EUR;;DK;1;0;2017-12-01 00.00.00;Seed;3318,489962;30;0,681818182;25;0,675675676
Seed Capital;2018-01-01 00.00.00;Dixa;IT;SaaS/Enterprise solutions;20;1161;Hovedstaden;11000000;børsen.dk;1;36561009;6073666;19833781;21824022;;USD;;DK;1;0;2018-01-01 00.00.00;Seed;4082,980623;44;1;37;1
Seed Capital;2019-02-01 00.00.00;Dixa;IT;SaaS/Enterprise solutions;20;1161;Hovedstaden;91000000;børsen.dk;2;36561009;6073666;19833781;21824022;;USD;;DK;1;1;2018-01-01 00.00.00;Early-stage;4082,980623;44;1;37;1
KMD Venture;2019-08-01 00.00.00;Egoo.Health;IT;HealthTech;5;2750;Hovedstaden;5000000;computerworld.dk;1;39507730;424000;-1000;14000;;DKK;;DK;1;0;2019-08-01 00.00.00;Pre-Seed;0;0;0;0;0
