Investor;Time of investment;Company;Industry;Vertical;Employees;Postal code;Region;Invested amount (DKK);Source;# of investors in round;CVR;GP2019;GP2020;GP2021;GP2022;Valuta ;AvgYearlyGrowth;InvestorCountry;# Danish investors;# intertiol investors;Time of first venture investment in company;Series;Betweenness;Degree_centralization;Normalized_degree_centralization;Binary_degree_centralization;Binary_normalized_degree_centralization
Futuristic VC;2019-09-01 00.00.00;Dreamdata.io;IT;SaaS/Marketing;3;2791;Hovedstaden;3500000;seedcamp.com;3;39855224;-327000;-1402000;-2685000;;DKK;;DK;2;1;2019-09-01 00.00.00;Pre-Seed;180,4815901;9;0,204545455;9;0,243243243
Heartcore Capital;2019-03-01 00.00.00;Peakon;IT;SaaS/Enterprise solutions;32;1422;Hovedstaden;230000000;computerworld.dk;5;36469277;-102097000;-43362000;;-299486000;DKK;;DK;1;4;2015-03-01 00.00.00;Growth;1664,089829;20;0,454545455;19;0,513513514
Heartcore Capital;2018-11-01 00.00.00;RFRSH Entertainment;IT;E-sport;12;2450;Hovedstaden;74500000;vf.dk;3;38074466;-67040000;49177000;13713000;;DKK;;DK;2;1;2016-12-01 00.00.00;Early-Bridge;1664,089829;20;0,454545455;19;0,513513514
Heartcore Capital;2018-05-01 00.00.00;Blackwood Seven;IT;SaaS/Marketing;40;2100;Hovedstaden;125000000;markedsforing.dk;5;32337422;1387000;10557000;12302000;;DKK;;DK;2;3;2013-08-01 00.00.00;Growth;1664,089829;20;0,454545455;19;0,513513514
Heartcore Capital;2018-07-01 00.00.00;Forecast;IT;SaaS/Enterprise solutions;17;1360;Hovedstaden;18000000;techsavvy.media;2;38019651;-1118000;-9588000;-1467000;-35090000;DKK;;DK;2;0;2017-04-01 00.00.00;Seed;1664,089829;20;0,454545455;19;0,513513514
Heartcore Capital;2017-03-01 00.00.00;Peakon;IT;SaaS/Enterprise solutions;14;2450;Hovedstaden;50000000;borsen.dk;3;36469277;-102097000;-43362000;;-299486000;DKK;;DK;1;2;2015-03-01 00.00.00;Early-Bridge;1664,089829;20;0,454545455;19;0,513513514
Heartcore Capital;2018-02-01 00.00.00;Peakon;IT;SaaS/Enterprise solutions;32;1422;Hovedstaden;130000000;techsavvy.media;4;36469277;-102097000;-43362000;;-299486000;DKK;;DK;1;3;2015-03-01 00.00.00;Late-stage;1664,089829;20;0,454545455;19;0,513513514
Heartcore Capital;2019-07-01 00.00.00;Podimo;IT;SaaS/Digital Media;15;1202;Hovedstaden;45000000;techcrunch.com;2;40447024;-16883448;-24652000;-55527000;;DKK;;DK;1;1;2019-07-01 00.00.00;Early-stage;1664,089829;20;0,454545455;19;0,513513514
Heartcore Capital;2019-11-01 00.00.00;Forecast;IT;SaaS/Enterprise solutions;17;1360;Hovedstaden;37000000;techcrunch.com;3;38019651;-1118000;-9588000;-1467000;-35090000;DKK;;DK;2;1;2017-04-01 00.00.00;Early-stage;1664,089829;20;0,454545455;19;0,513513514
Heartcore Capital;2018-11-01 00.00.00;Templafy;IT;SaaS/Enterprise solutions;28;1403;Hovedstaden;95000000;templafy.com;4;25662946;-10211000;-27525000;8200000;;DKK;;DK;2;2;2014-06-01 00.00.00;Growth;1664,089829;20;0,454545455;19;0,513513514
InQvation;2019-06-01 00.00.00;Goodiebox;IT;E-commerce;33;2300;Hovedstaden;43000000;borsen.dk;1;34087288;1747000;-14007000;26203000;24088000;DKK;;DK;1;0;2016-11-01 00.00.00;Early-stage;0;1;0,022727273;1;0,027027027
InQvation;2019-04-01 00.00.00;Onomondo;IT;IoT;3;2630;Hovedstaden;;;1;34728143;-129000;-330000;-1896000;;DKK;;DK;1;0;2014-11-01 00.00.00;Seed;0;1;0,022727273;1;0,027027027
Insero Horsens;2019-12-01 00.00.00;Hydrive;CleanTech;CleanTech;8;8722;Midtjylland;;;1;37297860;1307000;2050000;2157000;1143000;DKK;;DK;1;0;2019-12-01 00.00.00;Seed;0;0;0;0;0
Investo Capital;2019-10-01 00.00.00;Brainreader;Life Science;MedTech;3;9220;Nordjylland;11000000;medwatch.dk;2;33864884;-1494000;-2553000;-5273000;;DKK;;DK;2;0;2019-10-01 00.00.00;Seed;0;1;0,022727273;1;0,027027027
Investo Capital;2019-09-01 00.00.00;TracInnovations;Life Science;MedTech;5;2750;Hovedstaden;;;1;36982764;-877000;4161000;818000;1399000;DKK;;DK;1;0;2019-09-01 00.00.00;Seed;0;1;0,022727273;1;0,027027027
KMD Venture;2018-05-01 00.00.00;Scoutbase;IT;SaaS/Enterprise solutions;2;5700;Syddanmark;;;1;39001543;873000;21000;224000;;DKK;;DK;1;0;2018-05-01 00.00.00;Seed;0;0;0;0;0
Kraks Fond;2017-09-01 00.00.00;Homemate;Other;FoodTech;74,5;2860;Hovedstaden;37000000;techsavvy.media;2;36480777;14882239;14882000;4379000;1438000;DKK;;DK;2;0;2017-09-01 00.00.00;Early-stage;0;1;0,022727273;1;0,027027027
LF Investment;2016-02-01 00.00.00;Minervax;Life Science;BioTech;3;2200;Hovedstaden;;;3;32673287;-25879000;-16782000;-57829000;;DKK;;DK;3;0;2009-01-01 00.00.00;Seed-Bridge;0;2;0,045454545;2;0,054054054
Lundbeckfonden;2016-01-01 00.00.00;IO Biotech;Life Science;BioTech;4;2200;Hovedstaden;82000000;lundbeckfonden.com;3;36474483;;;;;DKK;;DK;3;0;2015-01-01 00.00.00;Early-stage;1,019047619;8;0,181818182;7;0,189189189
Lundbeckfonden Emerge;2019-06-01 00.00.00;Afyx Therapeutics;Life Science;BioTech;3;2300;Hovedstaden;86000000;fins.dk;3;35839739;-52476000;-36231000;27442000;;DKK;;DK;2;1;2017-05-01 00.00.00;Late-stage;136,2052434;11;0,25;10;0,27027027
Lundbeckfonden Emerge;2019-03-01 00.00.00;SNIPR Biome;Life Science;BioTech;11;2100;Hovedstaden;320000000;berlingske.dk;4;38871277;-24638000;-38908000;-37777000;;DKK;;DK;2;2;2019-03-01 00.00.00;Late-stage;136,2052434;11;0,25;10;0,27027027
Lundbeckfonden Emerge;2017-05-01 00.00.00;Afyx Therapeutics;Life Science;BioTech;1;2900;Hovedstaden;120000000;afyxtx.com;3;35839739;-52476000;-36231000;27442000;;DKK;;DK;2;1;2017-05-01 00.00.00;Late-stage;136,2052434;11;0,25;10;0,27027027
Maersk Growth;2019-11-01 00.00.00;Onomondo;IT;IoT;3;2630;Hovedstaden;;;1;34728143;-129000;-330000;-1896000;;DKK;;DK;1;0;2014-11-01 00.00.00;Seed-Bridge;0;1;0,022727273;1;0,027027027
Megatrend Invest;2019-09-01 00.00.00;Wholi Foods (Hey Planet);Other;FoodTech;3;2200;Hovedstaden;;;1;38178350;-148000;-187000;47000;;DKK;;DK;1;0;2019-09-01 00.00.00;Pre-Seed;0;0;0;0;0
Nordic;2017-03-01 00.00.00;BlueTown;Industry;IoT/Hardware;33;2100;Hovedstaden;14000000;berlingske.dk;2;30075277;-17844000;-6233000;-12021000;-9265000;DKK;;DK;1;1;2017-03-01 00.00.00;Pre-Seed;0;1;0,022727273;1;0,027027027
Nordic Alpha Partners;2018-09-01 00.00.00;Carheal;Industry;Advanced manufacturing;13;8990;Midtjylland;54000000;børsen.dk;1;29395195;;;;;DKK;;DK;1;0;2018-09-01 00.00.00;Early-stage;0;0;0;0;0
Nordic Alpha Partners;2019-08-01 00.00.00;Greenhydrogen;Industry;CleanTech;7;6000;Syddanmark;;;1;30548701;-801000;;;;DKK;;DK;1;0;2019-08-01 00.00.00;Early-stage;0;0;0;0;0
Nordic Alpha Partners;2019-03-01 00.00.00;Re-Match;CleanTech;CleanTech;24;7400;Midtjylland;50000000;partners.dk;1;35465529;-12765000;-1340000;-875000;;DKK;;DK;1;0;2019-03-01 00.00.00;Early-stage;0;0;0;0;0
Nordic Alpha Partners;2019-03-01 00.00.00;Paralenz;Other;Other;20;2610;Hovedstaden;30000000;partners.dk;1;37377074;3911000;4103000;4050000;;DKK;;DK;1;0;2019-03-01 00.00.00;Early-stage;0;0;0;0;0
Nordic Eye;2019-02-01 00.00.00;Donkey Republic;Other;Mobility;7;2300;Hovedstaden;30000000;fins.dk;3;38049488;3340000;-7152000;4004000;;DKK;;DK;2;1;2016-07-01 00.00.00;Early-Bridge;496,7540091;11;0,25;9;0,243243243
Nordic Eye;2016-12-01 00.00.00;Tattoodo;IT;Social/Platform Software;40;2300;Hovedstaden;75225000;trendsonline.dk;1;34687684;-7622000;-4660000;-2834000;;DKK;;DK;1;0;2013-01-01 00.00.00;Early-stage;496,7540091;11;0,25;9;0,243243243
Nordic Eye;2017-03-01 00.00.00;Donkey Republic;Other;Mobility;;2300;Hovedstaden;;;4;38049488;3340000;-7152000;4004000;;DKK;;DK;2;2;2016-07-01 00.00.00;Seed-Bridge;496,7540091;11;0,25;9;0,243243243
Nordic Eye;2018-01-01 00.00.00;Coinify;IT;FinTech;18;2730;Hovedstaden;29760000;coinify.com;4;35847995;7550000;19313000;;34303000;DKK;;DK;3;1;2014-09-01 00.00.00;Early-Bridge;496,7540091;11;0,25;9;0,243243243
Nordic Eye;2017-12-01 00.00.00;Tattoodo;IT;Social/Platform Software;27;2300;Hovedstaden;31500000;berlingske.dk;1;34687684;-7622000;-4660000;-2834000;;DKK;;DK;1;0;2013-01-01 00.00.00;Early-Bridge;496,7540091;11;0,25;9;0,243243243
Nordic Eye;2018-10-01 00.00.00;Blue Ocean Robotics;Industry;Robotics & Drones;34;5220;Syddanmark;100000000;tv2fyn.dk;1;34885478;17023000;70625000;64427000;;DKK;;DK;1;0;2018-10-01 00.00.00;Late-stage;496,7540091;11;0,25;9;0,243243243
Nordic Eye;2018-07-01 00.00.00;Zliide Technologies;Industry;IoT/Hardware;6;8000;Midtjylland;;;2;37556319;-1594000;-1524000;-2684000;;DKK;;DK;2;0;2018-01-01 00.00.00;Seed;496,7540091;11;0,25;9;0,243243243
Nordic Eye;2019-01-01 00.00.00;LuggageHero;IT;Social/Platform Software;8;2100;Hovedstaden;10800000;techsavvy.media;1;37611328;-4101000;-348000;2981000;;DKK;;DK;1;0;2019-01-01 00.00.00;Seed;496,7540091;11;0,25;9;0,243243243
Nordic Eye;2019-08-01 00.00.00;Plecto;IT;SaaS/Enterprise solutions;13;8260;Midtjylland;10000000;borsen.dk;1;34737460;5504000;8176000;9912000;13925000;DKK;;DK;1;0;2019-08-01 00.00.00;Seed;496,7540091;11;0,25;9;0,243243243
Nordic Eye;2019-08-01 00.00.00;Blue Ocean Robotics;Industry;Robotics & Drones;47;5220;Syddanmark;75000000;fins.dk;1;34885478;17023000;70625000;64427000;;DKK;;DK;1;0;2018-10-01 00.00.00;Late-stage;496,7540091;11;0,25;9;0,243243243
Nordic Eye;2017-10-01 00.00.00;Organic Basics;Other;Design;7;8000;Midtjylland;6303800;fashionforum.dk;2;35676864;419000;13335000;;;DKK;;DK;2;0;2016-06-01 00.00.00;Seed;496,7540091;11;0,25;9;0,243243243
North-East Family Office;2019-03-01 00.00.00;SNIPR Biome;Life Science;BioTech;11;2100;Hovedstaden;320000000;berlingske.dk;4;38871277;-24638000;-38908000;-37777000;;DKK;;DK;2;2;2019-03-01 00.00.00;Late-stage;0;3;0,068181818;3;0,081081081
North-East Venture;2019-04-01 00.00.00;NORD.investments;IT;Fintech;5;1200;Hovedstaden;8000000;capnova.dk;2;37226939;-2713000;-3440000;-10949000;;DKK;;DK;1;1;2016-08-01 00.00.00;Seed;703;8;0,181818182;8;0,216216216
North-East Venture;2019-02-01 00.00.00;Rokoko;Industry;IoT/Hardware;18;1129;Hovedstaden;19000000;crunchbase.com;4;35680667;-125000;5164000;-474000;;DKK;;DK;1;3;2015-04-01 00.00.00;Seed-Bridge;703;8;0,181818182;8;0,216216216
North-East Venture;2019-09-01 00.00.00;Rokoko;Industry;IoT/Hardware;18;1129;Hovedstaden;19000000;techsavvy.media;3;35680667;-125000;5164000;-474000;;DKK;;DK;2;1;2015-04-01 00.00.00;Seed-Bridge;703;8;0,181818182;8;0,216216216
North-East Venture;2017-09-01 00.00.00;Mater Design;Other;Design;10;2400;Hovedstaden;;;2;29786607;4551000;5752000;4573000;;DKK;;DK;2;0;2016-12-01 00.00.00;Late-stage;703;8;0,181818182;8;0,216216216
North-East Venture;2018-06-01 00.00.00;ARKK Copenhagen;Other;Design;13;1456;Hovedstaden;;;2;36423358;13909000;3838000;12212000;16519000;DKK;;DK;2;0;2018-06-01 00.00.00;Pre-Seed;703;8;0,181818182;8;0,216216216
North-East Venture;2016-12-01 00.00.00;Rokoko;Industry;IoT/Hardware;20;1129;Hovedstaden;;;1;35680667;-125000;5164000;-474000;;DKK;;DK;1;0;2015-04-01 00.00.00;Seed;703;8;0,181818182;8;0,216216216
Northcap Partners;2018-08-01 00.00.00;Visiopharm;Life Science;Medtech;34;2970;Hovedstaden;95000000;berlingske.dk;1;26186676;43535000;44546000;45278000;84161000;DKK;;DK;1;0;2007-10-01 00.00.00;Late-stage;0;0;0;0;0
NorthCap Partners;2019-01-01 00.00.00;GAN Integrity Solutions;IT;SaaS/Enterprise solutions;38;1306;Hovedstaden;100000000;borsen.dk;5;28279779;9431000;19308000;19795000;;DKK;;DK;1;4;2017-08-01 00.00.00;Late-stage;560;7;0,159090909;7;0,189189189
Novo Holdings;2016-11-01 00.00.00;Acesion Pharma;Life Science;BioTech;14,5;2200;Hovedstaden;67795000;acesionpharma.com;2;34083738;-35794000;;;;DKK;;DK;1;1;2011-12-01 00.00.00;Early-Bridge;1223,09166;28;0,636363636;24;0,648648649
Novo Holdings;2017-03-01 00.00.00;Orphazyme;Life Science;Biotech;34,5;2200;Hovedstaden;104300000;novoholdings.dk;7;32266355;0;0;36193000;;DKK;;DK;2;5;2009-07-01 00.00.00;Growth;1223,09166;28;0,636363636;24;0,648648649
Novo Holdings;2019-01-01 00.00.00;Minervax;Life Science;BioTech;1;2200;Hovedstaden;33000000;minervax.com;2;32673287;-25879000;-16782000;-57829000;;DKK;;DK;2;0;2009-01-01 00.00.00;Early-stage;1223,09166;28;0,636363636;24;0,648648649
Novo Holdings;2016-02-01 00.00.00;Minervax;Life Science;BioTech;3;2200;Hovedstaden;;;3;32673287;-25879000;-16782000;-57829000;;DKK;;DK;3;0;2009-01-01 00.00.00;Seed-Bridge;1223,09166;28;0,636363636;24;0,648648649
Novo Holdings;2016-06-01 00.00.00;Evosep;Life Science;Biotech;5;5000;Syddanmark;;https://www.vf.dk/vf-investering-portefoelje/evosep/;2;37510068;9017000;21644000;36908000;53510000;DKK;;DK;2;0;2016-06-01 00.00.00;Late-stage;1223,09166;28;0,636363636;24;0,648648649
